date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:20	54980/54980	---M-Z	200	added ('OK')	text/html	etag:W/%2261b18a07-d6c4%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/index7a62.html	(from )
17:27:20	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22638fcda5-247b%22	https://technext.github.io/robots.txt		(from )
17:27:21	176523/176523	---M-Z	200	added ('OK')	text/css	etag:W/%2261b18a07-2b18b%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/mdi/css/materialdesignicons.min.css	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/mdi/css/materialdesignicons.min.css	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:21	2598/2598	---M-Z	200	added ('OK')	text/css	etag:W/%2261b18a07-a26%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/css/vendor.bundle.base.css	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/css/vendor.bundle.base.css	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:21	6635/6635	---M-Z	200	added ('OK')	text/css	etag:W/%2261b18a07-19eb%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/jvectormap/jquery-jvectormap.css	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/jvectormap/jquery-jvectormap.css	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:21	33818/33818	---M-Z	200	added ('OK')	text/css	etag:W/%2261b18a07-841a%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/flag-icon-css/css/flag-icon.min.css	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/flag-icon-css/css/flag-icon.min.css	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:21	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%2261b18a07-d17%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.carousel.min.css	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.carousel.min.css	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:22	1013/1013	---M-Z	200	added ('OK')	text/css	etag:W/%2261b18a07-3f5%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.theme.default.min.css	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.theme.default.min.css	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:22	793043/793043	---M-Z	200	added ('OK')	text/css	etag:W/%2261b18a07-c19d3%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/css/style.css	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/css/style.css	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:22	1039/1039	---M--	200	added ('OK')	image/png	etag:%2261b18a07-40f%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/images/favicon.png	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/images/favicon.png	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:23	54980/54980	---M-Z	200	added ('OK')	text/html	etag:W/%2261b18a07-d6c4%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/index.html	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:23	4559/4559	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2261b18a07-11cf%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/images/logo.svg	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/images/logo.svg	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:23	1177/1177	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2261b18a07-499%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/images/logo-mini.svg	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/images/logo-mini.svg	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:23	13908/13908	---M--	200	added ('OK')	image/jpeg	etag:%2261b18a07-3654%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/assets/images/faces/face15.jpg	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/assets/images/faces/face15.jpg	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:24	46049/46049	---M-Z	200	added ('OK')	text/html	etag:W/%2261b18a08-b3e1%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/buttons.html	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/buttons.html	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
17:27:24	57841/57841	---M-Z	200	added ('OK')	text/html	etag:W/%2261b18a08-e1f1%22	https://technext.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/dropdowns.html	C:/My%20Web%20Sites/Dasboard/technext.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/dropdowns.html	(from https://technext.github.io/corona-free-dark-bootstrap-admin-template/index.html?_ga=2.20337528.1710309027.1670846201-2138850436.1670510666)
